date,open,close,high,low,volume
2020-08-27,28.2837426900,28.0330407000,28.3293248700,27.6607862300,57481502
2020-08-28,27.9950555500,29.2105803500,29.2105803500,27.8051298000,118294177
2020-08-31,29.2485655000,28.6332060700,29.6284170000,28.5268476500,119031365
2020-09-01,28.4584743800,28.4280862600,28.6408031000,28.1166080300,71275936
2020-09-02,28.4812654700,28.2609516000,28.5496387400,27.9570704000,79722127
2020-09-03,28.2001753600,28.0938169400,28.4356832900,27.9266822800,64047956
2020-09-04,27.8279208900,27.9570704000,28.0254436700,27.6152040500,48543721
2020-09-07,27.9570704000,27.9494733700,28.5496387400,27.8735030700,61613878
2020-09-08,28.2457575400,28.5572357700,28.5800268600,28.1242050600,68354491
2020-09-09,28.3141308100,28.5648328000,28.8307288500,28.2305634800,60543334
2020-09-10,28.7775496400,28.6408031000,28.8003407300,28.3901011100,55014607
2020-09-11,28.7699526100,28.2913397200,28.7775496400,28.1242050600,55310513
2020-09-14,28.4128922000,28.3749070500,28.5496387400,28.1621902100,46023997
2020-09-15,28.3065337800,28.7927437000,28.9370872700,28.2837426900,53080495
2020-09-16,28.8383258800,28.9142961800,29.0966249000,28.7015793400,47887482
2020-09-17,28.9446843000,28.7699526100,29.2257744100,28.7547585500,55771354
2020-09-18,28.7547585500,29.6208199700,29.6208199700,28.7167734000,108169240
2020-09-21,29.6284170000,29.3245358000,29.7271783900,29.3245358000,50152092
2020-09-22,29.2485655000,28.7775496400,29.3245358000,28.6711912200,58311689
2020-09-23,28.7319674600,28.4888625000,28.9066991500,28.4128922000,43076028
2020-09-24,28.3749070500,28.1545931800,28.3749070500,28.0330407000,54027975
2020-09-25,28.1849813000,28.2457575400,28.4128922000,28.1697872400,35225153
2020-09-28,28.2609516000,28.2989367500,28.6028179500,28.1469961500,35324476
2020-09-29,28.3749070500,27.5848159300,28.4508773500,27.5544278100,79668910
2020-09-30,27.5772189000,27.3493080000,27.7823387100,27.1973674000,65466059
2020-10-09,27.6531892000,27.4860545400,27.9570704000,27.4480693900,49472433
2020-10-12,27.6531892000,28.5344446800,28.6028179500,27.5772189000,99864635
2020-10-13,28.4736684400,28.7091763700,28.8763110300,28.2077723900,51141560
2020-10-14,28.7167734000,28.9066991500,28.9446843000,28.4052951700,64294015
2020-10-15,28.9750724200,29.6360140300,29.8031486900,28.9066991500,119665720
2020-10-16,29.5600437300,30.2209853400,30.5400606000,29.5372526400,110589580
2020-10-19,30.6084338700,30.3805229700,31.5656596500,30.3045526700,98154659
2020-10-20,30.3881200000,30.3653289100,30.6236279300,30.1602091000,42436836
2020-10-21,30.4337021800,30.9958824000,31.0490616100,30.3805229700,54185565
2020-10-22,31.1478230000,31.2921665700,31.9075260000,30.6388219900,64497499
2020-10-23,31.0794497300,31.3149576600,31.9834963000,31.0414645800,55183362
2020-10-26,31.6492269800,30.8591358600,31.6492269800,30.4488962400,50454000
2020-10-27,30.8591358600,30.7299863500,31.3377487500,30.6388219900,45883207
2020-10-28,30.8667328900,30.4640903000,31.2085992400,30.0918358300,69355712
2020-10-29,30.1981942500,30.5324635700,31.0414645800,30.1374180100,52307034
2020-10-30,30.7679715000,30.2437764300,31.2617784500,30.0690447400,43842279
2020-11-02,30.7603744700,30.5780457500,30.9199121000,29.7651635400,51692798
2020-11-03,30.9199121000,31.3301517200,31.9834963000,30.9199121000,87069016
2020-11-04,31.9986903600,32.6140497900,32.7356022700,31.4365101400,88450085
2020-11-05,32.7431993000,32.5076913700,33.2066181300,32.1962131400,68048685
2020-11-06,32.5152884000,32.2721834400,32.5532735500,31.9758992700,46364547
2020-11-09,32.6596319700,32.6900200900,33.0242894100,32.3633478000,49714162
2020-11-10,33.2522003100,33.2142151600,33.7156191400,32.9711102000,56207925
2020-11-11,33.4269320000,33.6928280500,33.6928280500,33.0546775300,52696972
2020-11-12,33.4269320000,33.1078567400,33.7612013200,32.9331250500,47159435
2020-11-13,32.8191696000,32.3481537400,32.8191696000,31.7631824300,54486290
2020-11-16,32.6292438500,32.6672290000,32.7431993000,32.4013329500,38943199
2020-11-17,32.6672290000,33.3053795200,33.4269320000,32.5152884000,47285620
2020-11-18,33.1230508000,33.9967092500,34.1866350000,32.9787072300,62820215
2020-11-19,33.8295745900,34.0878736100,34.1866350000,33.4193349700,47734174
2020-11-20,34.0043062800,34.2246201500,34.4145459000,33.8143805300,31468757
2020-11-23,34.2246201500,34.4905162000,34.6272627400,34.0498884600,58462113
2020-11-24,34.1866350000,34.0878736100,34.4145459000,33.8295745900,39946734
2020-11-25,34.5816805600,33.7536042900,34.6196657100,33.5560815100,37807249
2020-11-26,33.7839924100,34.2550082700,34.4753221400,33.7839924100,35153429
2020-11-27,34.4905162000,34.8323825500,34.9235469100,33.9587241000,44607770
2020-11-30,34.8323825500,33.5788726000,36.2910123100,33.4497230900,115360181
2020-12-01,33.7308132000,35.0982786000,35.3641746500,33.7232161700,78072787
2020-12-02,34.9463380000,35.5541004000,35.7288320900,34.3841577800,61994358
2020-12-03,35.5161152500,35.3185924700,35.7820113000,34.5664865000,50237589
2020-12-04,35.3033984100,34.7792033400,35.4021598000,34.2702023300,46115543
2020-12-07,34.7184271000,33.7460072600,34.7564122500,33.5029023000,70482524
2020-12-08,33.7232161700,33.6244547800,34.0043062800,33.4269320000,37716735
2020-12-09,33.7080221100,33.6092607200,34.1334557900,33.5940666600,37519456
2020-12-10,33.4573201200,33.6396488400,33.9055448900,33.2749914000,36887355
2020-12-11,33.6168577500,32.4241240400,33.6320518100,32.4241240400,77143525
2020-12-14,32.9103339600,33.7080221100,33.9283359800,32.9103339600,60742701
2020-12-15,33.7687983500,33.6928280500,34.1410528200,33.0014983200,43879226
2020-12-16,34.0270973700,33.4725141800,34.0726795500,33.3357676400,36790200
2020-12-17,33.3509617000,33.4649171500,33.5560815100,32.9331250500,50232903
2020-12-18,33.4953052700,32.7431993000,33.7232161700,32.5152884000,76059993
2020-12-21,32.6976171200,32.5836616700,32.7811844500,32.1430339300,62385090
2020-12-22,32.6596319700,31.8391527300,32.6672290000,31.8087646100,78468607
2020-12-23,31.6872121300,32.1506309600,32.2190042300,31.6872121300,71181993
2020-12-24,32.1734220500,32.3405567100,32.7431993000,32.1506309600,48211014
2020-12-25,32.3253626500,32.4545121600,32.5912587000,31.8923319400,47673197
2020-12-28,32.4773032500,32.6976171200,32.9103339600,32.0822576900,84140901
2020-12-29,32.8647517800,32.5380794900,32.8875428700,32.4013329500,72714756
2020-12-30,32.5684676100,32.7052141500,32.7052141500,31.8315557000,93349643
2020-12-31,32.7052141500,33.3889468500,33.6928280500,32.5532735500,89119921
2021-01-04,32.8419606900,32.7963785100,33.2597973400,31.9227200600,154952285
2021-01-05,32.4849002800,32.0442725400,32.5152884000,31.4820923200,138717699
